,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region,median_terrace_area,median_garden_area,median_facade,type_num,APARTMENT,BUNGALOW,CASTLE,CHALET,COUNTRY_COTTAGE,DUPLEX,EXCEPTIONAL_PROPERTY,FARMHOUSE,FLAT_STUDIO,GROUND_FLOOR,HOUSE,KOT,LOFT,MANOR_HOUSE,MANSION,OTHER_PROPERTY,PENTHOUSE,SERVICE_FLAT,TOWN_HOUSE,TRIPLEX,VILLA,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,BRUXELLES,VLAANDEREN,WALLONIE,ANVERS,BRABANT FLAMAND,BRABANT WALLON,BRUXELLES,FLANDRE-OCCIDENTALE,FLANDRE-ORIENTALE,HAINAUT,LIEGE,LIMBOURG,LUXEMBOURG,NAMUR
39,9600,HOUSE,MANSION,265000.0,4,245.0,1,0,0,0,,0,,237.0,2.0,0,,Renaix,Non,RENAIX,FLANDRE-ORIENTALE,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
40,4100,HOUSE,HOUSE,165000.0,2,120.0,1,0,0,1,40.0,1,145.0,246.0,2.0,0,GOOD,Seraing,Non,SERAING,LIEGE,WALLONIE,40.0,40.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,1620,HOUSE,HOUSE,325000.0,3,150.0,1,0,0,1,24.0,1,100.0,0.0,2.0,0,GOOD,Drogenbos,Non,DROGENBOS,BRABANT FLAMAND,VLAANDEREN,24.0,24.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
43,9040,APARTMENT,DUPLEX,275000.0,3,104.0,1,0,0,1,37.0,0,,,,0,,Sint-Amandsberg,Oui,GENT,FLANDRE-ORIENTALE,VLAANDEREN,37.0,37.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
44,3740,HOUSE,HOUSE,415000.0,3,163.0,1,0,0,1,,1,,468.0,,0,AS_NEW,Bilzen,Non,BILZEN,LIMBOURG,VLAANDEREN,16.0,200.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
45,6600,HOUSE,HOUSE,120000.0,3,121.0,1,0,0,0,,0,,176.0,3.0,0,TO_BE_DONE_UP,Bastogne,Non,BASTOGNE,LUXEMBOURG,WALLONIE,16.0,16.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
46,7134,HOUSE,HOUSE,95000.0,2,119.0,1,0,0,0,,0,,170.0,2.0,0,TO_RENOVATE,Epinois,Oui,BINCHE,HAINAUT,WALLONIE,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47,1770,APARTMENT,APARTMENT,189000.0,3,96.0,1,0,0,1,8.0,0,,,4.0,0,TO_RENOVATE,Liedekerke,Non,LIEDEKERKE,BRABANT FLAMAND,VLAANDEREN,8.0,8.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
49,8301,APARTMENT,APARTMENT,308500.0,2,83.0,1,0,0,1,,0,,,,0,AS_NEW,Heist-Aan-Zee,Oui,KNOKKE-HEIST,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
50,8210,HOUSE,HOUSE,435000.0,4,282.0,1,0,0,0,,0,,989.0,4.0,0,GOOD,Zedelgem,Non,ZEDELGEM,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
51,6800,HOUSE,HOUSE,175000.0,3,172.0,0,0,0,1,,1,1000.0,1254.0,4.0,0,TO_RENOVATE,Libramont-Chevigny,Non,LIBRAMONT-CHEVIGNY,LUXEMBOURG,WALLONIE,16.0,16.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
